update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75444,0.9014000000000001,2.18132,,,
none,,,,64.89399719238281,0.8378356777493606,2.678588554987212
eacp,,,,71.87799835205078,0.9362811700767263,5.798713235294118
eacp_gini,,,,71.9159927368164,0.8526015025575447,1.887208280051151
eacp_top2,,,,72.02400207519531,0.86409047314578,2.053468670076726
eacp_gini_norm,,,,71.94000244140625,0.9130834398976982,3.838055466751918
eacp_top2_norm,,,,71.99400329589844,0.9312659846547314,5.24514466112532
eacp_adaptive,,,,71.98599243164062,0.9363810741687979,6.029251918158568
eacp_online,,,,72.03399658203125,0.938678868286445,5.794277493606138
eacp_sliding,,,,71.96599578857422,0.9377997122762148,5.803128996163683
eacp_top2_norm_adaptive,,,,71.89599609375,0.9341032608695652,5.769840952685422
eacp_adaptive_scaling,,,,71.90799713134766,0.9382792519181585,6.322150735294118
tent_ecp,,,,71.9540023803711,0.9420756074168798,6.36145300511509
tent_ecp_adaptive,,,,72.14799499511719,0.9449528452685422,6.771839034526854
