update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75236,0.8998000000000002,2.15792,,,
none,,,,27.599998474121094,0.46241608056265987,3.63429108056266
eacp,,,,57.2859992980957,0.9177789322250639,17.26938139386189
eacp_gini,,,,57.31999969482422,0.7544956841432225,2.5350063938618925
eacp_top2,,,,57.547996520996094,0.7623081841432225,2.65079523657289
eacp_gini_norm,,,,57.477996826171875,0.8872282608695652,10.625479539641944
eacp_top2_norm,,,,57.51000213623047,0.9059702685421995,13.77403692455243
eacp_adaptive,,,,57.60599899291992,0.9252317774936062,19.376638427109974
eacp_online,,,,57.45399475097656,0.9210557864450127,17.19049712276215
eacp_sliding,,,,57.38999938964844,0.9203964194373402,17.529571611253196
eacp_top2_norm_adaptive,,,,57.62199783325195,0.9147618286445013,16.340952685421996
eacp_adaptive_scaling,,,,57.61600112915039,0.9363810741687979,27.15205402813299
tent_ecp,,,,54.42399978637695,0.9155810421994884,20.341032608695652
tent_ecp_adaptive,,,,54.40599822998047,0.9194972826086957,22.15185421994885
