update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75404,0.9008400000000001,2.17988,,,
none,,,,36.176666259765625,0.5093616737739872,3.5978033937455582
eacp,,,,46.220001220703125,0.8016946517412936,17.426561389481165
eacp_gini,,,,47.11333465576172,0.6183257818052594,2.767246357498223
eacp_top2,,,,46.3033332824707,0.6146388592750534,2.927771855010661
eacp_gini_norm,,,,46.95000076293945,0.7668687810945273,11.920409115138593
eacp_top2_norm,,,,46.63666915893555,0.7893678926794598,15.570517945984365
eacp_adaptive,,,,46.290000915527344,0.8029606432125089,17.68919909381663
eacp_online,,,,46.869998931884766,0.8003953447050463,16.8875710732054
eacp_sliding,,,,47.223331451416016,0.8044598436389482,16.988828180525942
eacp_top2_norm_adaptive,,,,46.393333435058594,0.8059146233120114,18.218350213219615
eacp_adaptive_scaling,,,,46.703330993652344,0.8244047619047619,21.362762082444917
tent_ecp,,,,42.31333541870117,0.7710443319118693,18.275797352523096
tent_ecp_adaptive,,,,42.36000061035156,0.7768856609808102,18.736751510305613
