update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.754,0.8999200000000002,2.15224,,,
none,,,,14.7839994430542,0.2740968670076726,3.651854219948849
eacp,,,,47.59199905395508,0.8920236572890026,25.862452046035806
eacp_gini,,,,47.742000579833984,0.6725543478260869,2.880135070332481
eacp_top2,,,,47.85199737548828,0.6759910485933504,2.9667319373401533
eacp_gini_norm,,,,47.92599868774414,0.8544996803069054,15.783268062659847
eacp_top2_norm,,,,47.709999084472656,0.8726822250639387,20.62991528132992
eacp_adaptive,,,,47.91999816894531,0.8963195332480819,27.450047953964194
eacp_online,,,,47.7239990234375,0.890565057544757,25.187100383631712
eacp_sliding,,,,47.486000061035156,0.8908048273657289,26.231257992327365
eacp_top2_norm_adaptive,,,,47.63399887084961,0.8871683184143222,24.53119005754476
eacp_adaptive_scaling,,,,47.869998931884766,0.9201166879795396,41.94743046675192
tent_ecp,,,,41.31599807739258,0.8693054667519181,31.641164482097185
tent_ecp_adaptive,,,,41.49399948120117,0.875619405370844,33.31807464833759
