update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75656,0.9016400000000001,2.17372,,,
none,,,,58.92599868774414,0.7896619245524297,2.901854219948849
eacp,,,,67.80799865722656,0.9326246803069054,8.254375799232736
eacp_gini,,,,68.0,0.8295036764705882,2.100943094629156
eacp_top2,,,,67.78800201416016,0.8381753516624041,2.251218829923274
eacp_gini_norm,,,,67.83799743652344,0.9072690217391305,5.151634430946292
eacp_top2_norm,,,,67.69400024414062,0.9250719309462916,7.076886189258312
eacp_adaptive,,,,67.86599731445312,0.9354419757033248,8.941236413043478
eacp_online,,,,67.97599792480469,0.9337835677749361,8.122422474424553
eacp_sliding,,,,67.92599487304688,0.9334638746803069,8.258751598465473
eacp_top2_norm_adaptive,,,,67.7199935913086,0.9300471547314578,7.999720268542199
eacp_adaptive_scaling,,,,67.79199981689453,0.9382592710997443,9.710677749360613
tent_ecp,,,,67.20399475097656,0.9398177749360613,9.292319373401535
tent_ecp_adaptive,,,,67.29199981689453,0.9408168158567775,10.033967391304348
