update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75404,0.89828,2.13856,,,
none,,,,0.0,0.03164724576271186,3.497307556497175
eacp,,,,0.320000022649765,0.3136034604519774,18.9881709039548
eacp_gini,,,,0.2133333384990692,0.03725282485875706,3.228063206214689
eacp_top2,,,,0.4933333396911621,0.04691913841807909,3.44288488700565
eacp_gini_norm,,,,0.5333333015441895,0.2252824858757062,13.503133827683616
eacp_top2_norm,,,,0.25333333015441895,0.3179731638418079,19.76465395480226
eacp_adaptive,,,,0.3466666638851166,0.2931232344632768,19.310072387005647
eacp_online,,,,0.320000022649765,0.305128884180791,18.692266949152543
eacp_sliding,,,,0.30666667222976685,0.3176200564971751,19.57123940677966
eacp_top2_norm_adaptive,,,,0.29333335161209106,0.3481197033898305,22.49668961864407
eacp_adaptive_scaling,,,,0.35999998450279236,0.3342161016949153,21.3184145480226
tent_ecp,,,,0.18666666746139526,0.344191384180791,20.715660310734464
tent_ecp_adaptive,,,,0.1600000113248825,0.3527542372881356,20.941693149717512
