update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.75688,0.8996000000000001,2.15076,,,
none,,,,63.19000244140625,0.8133957006369427,2.5326433121019107
eacp,,,,63.13999938964844,0.9114251592356688,9.241739649681529
eacp_sliding,,,,63.0,0.912718949044586,9.351612261146498
eacp_top2_norm_adaptive,,,,62.599998474121094,0.9099323248407644,9.195760350318471
eacp_adaptive_scaling,,,,63.339996337890625,0.9281449044585988,13.577129777070065
