update,cal_acc,cal_cov,cal_size,ood_acc,ood_cov,ood_size
calibration,0.7568,0.90188,2.1788,,,
none,,,,63.19000244140625,0.8148885350318471,2.5835987261146496
eacp,,,,62.909996032714844,0.9123208598726115,9.459593949044587
eacp_gini,,,,63.04999542236328,0.7934912420382165,2.2461186305732483
eacp_top2,,,,62.86000061035156,0.8004578025477707,2.399781050955414
eacp_gini_norm,,,,63.019996643066406,0.8837579617834395,6.033140923566879
eacp_top2_norm,,,,63.019996643066406,0.902468152866242,8.27547770700637
eacp_adaptive,,,,62.779998779296875,0.9175955414012739,10.124900477707007
eacp_online,,,,62.80999755859375,0.9106289808917197,8.93889331210191
tent_ecp,,,,62.970001220703125,0.9161027070063694,9.91968550955414
tent_ecp_adaptive,,,,63.089996337890625,0.9208797770700637,10.445660828025478
